name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Mason Plumlee","Portland Trail Blazers",2016-10-29,2016,2488653,1610612757,400899483,4,5,03,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-10-30,2016,2991235,1610612760,400899490,4,3,19,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Dwight Howard","Atlanta Hawks",2016-10-29,2016,2384,1610612737,400899476,3,10,09,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Jarell Martin","Memphis Grizzlies",2016-10-29,2016,3064517,1610612763,400899478,1,2,03,1,"Alley Oop Layup shot","2PT Field Goal",0,"New York Knicks",9,0,0,0.00,,0.00,0.00
Nene,"Houston Rockets",2016-10-30,2016,,1610612745,400899491,1,0,43,1,"Alley Oop Layup shot","2PT Field Goal",4,"Dallas Mavericks",-38,16,0,0.00,,0.00,0.00
"Taj Gibson","Chicago Bulls",2016-10-31,2016,3986,1610612741,400899493,1,9,05,1,"Alley Oop Layup shot","2PT Field Goal",0,"Brooklyn Nets",-7,0,0,0.00,,0.00,0.00
"Carmelo Anthony","New York Knicks",2016-10-29,2016,1975,1610612752,400899478,2,3,13,0,"Alley Oop Layup shot","2PT Field Goal",0,"Memphis Grizzlies",9,-1,0,0.00,,0.00,0.00
"Jakob Poeltl","Toronto Raptors",2016-10-28,2016,3134908,1610612761,400899429,4,7,41,1,"Alley Oop Layup shot","2PT Field Goal",2,"Cleveland Cavaliers",17,23,0,0.00,,0.00,0.00
"Devin Booker","Phoenix Suns",2016-10-26,2016,3136193,1610612756,400899412,4,0,21,1,"Alley Oop Layup shot","2PT Field Goal",1,"Sacramento Kings",-17,-6,0,0.00,,0.00,0.00
"Jimmy Butler","Chicago Bulls",2016-10-31,2016,6430,1610612741,400899493,1,5,30,1,"Alley Oop Layup shot","2PT Field Goal",2,"Brooklyn Nets",20,-1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2016-10-28,2016,6583,1610612740,400899459,1,3,15,0,"Alley Oop Layup shot","2PT Field Goal",2,"Golden State Warriors",-19,18,0,0.00,,0.00,0.00
"Jakob Poeltl","Toronto Raptors",2016-10-31,2016,3134908,1610612761,400899492,2,10,48,0,"Alley Oop Layup shot","2PT Field Goal",2,"Denver Nuggets",25,16,0,0.00,,0.00,0.00
"Jonas Valanciunas","Toronto Raptors",2016-10-31,2016,6477,1610612761,400899492,3,1,41,1,"Alley Oop Layup shot","2PT Field Goal",2,"Denver Nuggets",-27,-6,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-10-30,2016,6585,1610612765,400899488,3,6,56,1,"Alley Oop Layup shot","2PT Field Goal",0,"Milwaukee Bucks",-4,2,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2016-10-29,2016,6606,1610612757,400899483,4,0,02,1,"Alley Oop Layup shot","2PT Field Goal",2,"Denver Nuggets",-16,13,0,0.00,,0.00,0.00
"Justise Winslow","Miami Heat",2016-10-26,2016,3135047,1610612748,400899378,4,2,54,1,"Alley Oop Layup shot","2PT Field Goal",2,"Orlando Magic",10,21,0,0.00,,0.00,0.00
"Paul Millsap","Atlanta Hawks",2016-10-27,2016,3015,1610612737,400899420,4,4,47,1,"Alley Oop Layup shot","2PT Field Goal",1,"Washington Wizards",-11,7,0,0.00,,0.00,0.00
"Jakob Poeltl","Toronto Raptors",2016-10-31,2016,3134908,1610612761,400899492,4,8,26,0,"Alley Oop Layup shot","2PT Field Goal",1,"Denver Nuggets",2,13,0,0.00,,0.00,0.00
"Markieff Morris","Washington Wizards",2016-10-30,2016,6461,1610612764,400899489,2,6,58,1,"Alley Oop Layup shot","2PT Field Goal",3,"Memphis Grizzlies",28,11,0,0.00,,0.00,0.00
"Mason Plumlee","Portland Trail Blazers",2016-10-29,2016,2488653,1610612757,400899483,2,1,58,0,"Alley Oop Layup shot","2PT Field Goal",1,"Denver Nuggets",10,11,0,0.00,,0.00,0.00
